;;I-CVI;CVR;Clarity;Recommendations for improvements
Item;items;I-CVI is computed as the number of experts giving a rating of “very relevant” for each item divided by the total number of experts. Value from 0 to 1.;CVR_=_(Ne – N/2)/(N/2), where Ne is the number of panelists indicating an item as “essential” and N is the total number of panelists. CVR varies between -1 and +1.;Averaged value;
;Approach dimension;;;;
item1_app;1.     Thinking about activities that require physical effort energizes me. ;0,444444444;-0,333333333;2,555555556;"I gave a 2 rating to every item that uses ""physical effort"" because in our laboratory's own testing of these words, the interpretation varied widely between individuals. I suggest the authors consider a few other terms in addition to ""physical effort"". In our own program, this was usually interpretted as activities of a strenuous nature and wasn't inclusive of lighter and more moderate activities."
item2_app;2.     When I see an opportunity for exerting physical effort, I get excited right away. ;0,444444444;-0,333333333;2,111111111;This may be true by task-specific. I get excited right away when I see an opportunity to do X but not Y. The sentence does not account for this possibility.
item3_app;3.     I feel a strong desire to engage in tasks that require physical effort.;0,777777778;0,555555556;2,666666667;"It would be helpful to see the instructions for this survey first, which were not included. This item is similar to items in the CRAVE scale (Stults-Kolehmainen, Blacutt et al., 2021) which specifies desires, wants, urges and cravings ""in the moment"" or ""right now"" or, for another version ""in the past week"". In this case, I believe you want to make the case about ""tendency"" so I believe the item might need a small modification or the instructions need to make that clear. The same apply for the other items. Also, from this point on (down to item 18), I gave ""2"" for essentiality only because an item seems redundant with an item above it."
item4_app;4.     I am always searching for opportunities to exert physical effort. ;0,666666667;0,333333333;2,444444444;Too absolute. I am regularly search for or I tend to search for
item5_app;5.     If there is an opportunity to exert physical effort, I immediately seize it. ;0,333333333;-0,555555556;2,222222222;Too absolute.
item6_app;6.     I am always willing to engage in activities that involve physical effort. ;0,666666667;-0,111111111;2,777777778;Too absolute.
item7_app;7.     I am always open to trying new activities when they require physical effort.;0,222222222;-0,777777778;2,444444444;Too absolute.
item8_app;8.     When I have an opportunity to engage in a physically demanding task, I can’t wait to do it.;0,555555556;-0,555555556;2,555555556;I look forward to engage in… / This one is different, and I appreciate that.
item9_app;9.     I usually crave physical effort. ;0,666666667;0,555555556;2,666666667;"Not sure crave is an appropriate term here. /  ""usually"" is a better addition here as well. /  This looks to me more like a 'novelty-seeking' item rather than an 'approach' item"
item10_app;10.  I exert a physical effort every chance I get.;0,444444444;-0,555555556;2,111111111;Too absolute. Every chance?
item11_app;11.  I like to engage in activities that require physical effort. ;0,888888889;0,333333333;2,888888889;To me, this indicates the respondent is intrinsically motivated toward physical effort, which is correlated with their tendency to approach it.
